trait,gamma,gene,Start (MB),seed1,seed2,seed3,seed4,seed5
alka_phos,0.001,DNAJC3,96.329509,3.321607556783235e-06,3.3213889052419177e-06,3.32221673149391e-06,3.288928766997934e-06,3.322511773928838e-06
alka_phos,0.001,FAM160B1,116.581837,1.642687985636826e-09,1.6380889977796187e-09,1.636242918934272e-09,1.6182887252469413e-09,1.6347050380005612e-09
alka_phos,1.0,PPARA,46.59428,5.985245374873216e-07,5.339266324622116e-07,5.618931008255501e-07,4.914577008685583e-07,5.582964881511998e-07
alka_phos,0.1,KCNK3,26.915743,5.0653243879317245e-06,5.3633566488020534e-06,5.429103675513858e-06,5.136946201078629e-06,4.877548140047594e-06
alka_phos,0.001,JMJD1C,64.927804,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,1.0,CTSB,11.702633,1.4560986749678761e-07,1.685050803335031e-07,1.633416955026945e-07,1.5757431270913003e-07,1.6518053458369764e-07
alka_phos,10.0,ADH1A,100.19778,1.1846207126353647e-08,1.110243286195356e-08,1.0346518641846103e-08,1.2090856982283071e-08,1.2144850458639667e-08
alka_phos,10.0,NBEAL2,47.021351,4.475193776665165e-07,6.00707470987949e-07,6.227475933817672e-07,5.185125919737743e-07,5.507935846305045e-07
alka_phos,1.0,TRIM6,5.618127,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,1.0,CYP2C19,96.522462,5.5507962670731104e-08,6.256361895218276e-08,6.378331884882016e-08,5.902969635318556e-08,5.8773071076601013e-08
alka_phos,0.001,PITPNB,28.250879,4.163717768346231e-07,3.910921968497405e-07,4.0944614143612057e-07,3.857173310750639e-07,3.912790600413274e-07
alka_phos,0.01,PVRL2,45.349782,1.8373071952737519e-09,1.8345356345150776e-09,1.8317911631982042e-09,1.8418827574251395e-09,1.8340863272570118e-09
alka_phos,0.001,TMEM8A,0.421986,3.1083790275054923e-06,3.0897856326816964e-06,3.106081696846452e-06,2.9835125663346673e-06,3.1066341763530403e-06
alka_phos,10.0,SUFU,104.263909,3.887323796192277e-11,3.8016034764609685e-11,3.651390301229185e-11,3.9629965975507275e-11,3.8743341868041625e-11
alka_phos,0.1,ZNF366,71.739582,4.187376334563453e-08,4.2428704327690525e-08,3.76916766686719e-08,4.2121726107069435e-08,4.177557433315826e-08
alka_phos,0.001,WIPI1,66.417913,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,0.1,ACAD10,112.130513,5.02788477518834e-10,7.004152813294695e-10,5.970733907290082e-10,6.846782030223153e-10,6.741238678387163e-10
alka_phos,0.1,PRMT7,68.349882,5.713917608285435e-06,5.591565928830811e-06,5.945736796908463e-06,5.537819729117821e-06,5.608028792902786e-06
alka_phos,0.001,ADH4,100.045592,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,0.001,PLCE1,95.790803,3.3298785928614905e-07,3.333516194192754e-07,3.320127386352567e-07,3.3254932396697967e-07,3.334218390271815e-07
alka_phos,0.1,SPTBN4,40.978528,6.976970388095083e-07,7.208742849318384e-07,6.812095701969056e-07,6.539150594342402e-07,6.889592332193217e-07
alka_phos,1.0,PKD1,2.139727,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,0.001,ARHGAP25,68.962331,5.9927865270204e-07,5.930170949852709e-07,5.972868724057889e-07,5.99244617704997e-07,5.898915999003052e-07
alka_phos,0.1,PEPD,33.878249,1.440181307543753e-12,1.4233059175694507e-12,1.4266365866433262e-12,1.474598221307133e-12,1.4650503032953566e-12
alka_phos,0.1,FAM47E,77.172899,1.6809605152268148e-07,1.689035777907577e-07,1.6809278235996317e-07,1.6945465231010814e-07,1.707591148480958e-07
alka_phos,10.0,RBKS,28.004481,5.272449143944868e-13,4.952704912852823e-13,4.971578704271451e-13,5.351274978693255e-13,4.85944617878431e-13
alka_phos,0.1,STK38L,27.450653,8.310223839957942e-06,8.34218281819954e-06,7.808985890145337e-06,7.702332661341238e-06,8.089263093813415e-06
alka_phos,0.001,BCAR3,94.027797,4.639082927804239e-07,4.5751127908388867e-07,4.5961201511346417e-07,4.555489061530693e-07,4.522578910259867e-07
alka_phos,0.01,SHE,154.456624,2.689317765591781e-06,2.6046209606889192e-06,2.6261959888973507e-06,2.6309284875125627e-06,2.207752736960167e-06
alka_phos,0.001,C12orf4,4.598972,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,0.001,CHRNB2,154.54052,4.105627069650453e-06,4.0311236118029115e-06,4.119171090000151e-06,4.11050650417355e-06,4.109558047082906e-06
alka_phos,0.1,SLC6A13,0.330113,7.960623049640958e-09,7.714588745599826e-09,8.023091746522937e-09,7.963744552696994e-09,8.090764280765939e-09
